key,provider,model_id,raw_valid_rate,valid_rate,errors,first_error,served_mismatches,median_latency_s,calls_per_min,g0_pass
qwen38_27b,groq,qwen/qwen3.8-27b,1.0,1.0,0,,0,0.0,620841.8,True
gptoss_20b,groq,openai/gpt-oss-20b,1.0,1.0,0,,0,0.0,599115.0,True
gptoss_120b,groq,openai/gpt-oss-120b,1.0,1.0,0,,0,0.0,20000000000.0,True
gemini_flash_lite,gemini,gemini-3.1-flash-lite,0.95,0.95,1,"gemini_flash_lite: call failed after retries: HTTP 503: [{
  ""error"": {
    ""code"": 503,
    ""messag",0,3.56,7.3,False
gemma,gemini,gemma-4-31b-it,,0,1,timeout: no result within 480s (see results/_runner/provider_errors.log),,,,False
mistral_small,mistral,mistral-small-2603,,0,1,timeout: no result within 480s (see results/_runner/provider_errors.log),,,,False
ministral_8b,mistral,ministral-8b-2512,1.0,1.0,0,,0,0.0,171411.8,True
nemotron_super,nvidia,nvidia/nemotron-3-super-120b-a12b,1.0,1.0,0,,0,0.0,880231.7,True
ollama_llama2_7b,ollama,llama2:7b-chat,0.8,1.0,0,,0,0.0,599043.7,True
ollama_llama3_8b,ollama,llama3:8b,0.9,1.0,0,,0,0.0,1200373.2,True
ollama_llama31_8b,ollama,llama3.1:8b,1.0,1.0,0,,0,0.0,1200087.0,True
ollama_qwen25_7b,ollama,qwen2.5:7b,1.0,1.0,0,,0,0.0,1200659.5,True
ollama_llama32_3b,ollama,llama3.2:3b,1.0,1.0,0,,0,0.0,1197232.4,True
